"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"2569","1306-1376","Camry","Unknown","Y"," "," "," "," ",NA," "," ","","Unknown"
"2570","502-1470","F-150","Daylight","Y"," "," "," "," ",NA," "," ","","Fatality"
"2571","1243-1379","Crosstrek","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Minor"
"2572","1243-1042","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2573","1243-1208","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"2574","13781-1439","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2575","13781-1408","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2576","13781-1407","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2577","13781-1406","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2578","13781-1405","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2579","13781-1404","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2580","13781-1375","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2581","13781-1390","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"2582","13781-1388","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2583","13781-1383","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2584","13781-1374","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2585","13781-1372","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2586","1243-1392","Forester","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"2587","13781-1390","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2588","13781-1388","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2589","62-1386","Civic","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2590","669-1350","PALISADE","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2591","1243-1379","Crosstrek","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"2592","13781-1383","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2593","1306-1376","Camry","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2594","13781-1375","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2595","13781-1374","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2596","62-1373","CRV","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2597","855-1341","S580 4Matic","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2598","13781-1372","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2599","62-1370","CRV","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2600","13781-1357","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2601","13781-1345","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2602","13781-1343","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2603","13781-1356","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2604","13781-1355","Model S","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"2605","13781-1353","Model Y","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"2606","13781-1352","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"2607","13781-1351","Model 3","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Unknown"
"2608","62-1358","Accord","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2609","13781-1357","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2610","13781-1356","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2611","13781-1355","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2612","62-1354","RLX","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2613","13781-1353","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2614","13781-1352","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
